3.80	1.53	1.40	13.97	12.12
3.84	1.46	1.41	13.98	12.20
3.89	1.47	1.41	13.99	12.24
3.90	1.56	1.41	13.99	12.28
3.91	1.48	1.42	14.00	12.32
3.77	1.42	1.42	14.01	12.39
3.86	1.46	1.43	14.01	12.44
3.74	1.55	1.43	14.02	12.48
3.80	1.47	1.43	14.03	12.52
3.84	1.42	1.43	14.03	12.56
3.89	1.45	1.44	14.04	12.63
3.76	1.55	1.44	14.05	12.67
3.81	1.47	1.44	14.05	12.72
3.85	1.42	1.45	14.06	12.75
3.88	1.45	1.45	14.07	12.83
3.76	1.55	1.46	14.07	12.87
3.82	1.47	1.46	14.08	12.91
3.85	1.56	1.46	14.08	12.95
3.73	1.48	1.46	14.09	13.03
3.84	1.48	1.47	14.09	13.07
3.87	1.42	1.47	14.10	13.11
3.89	1.53	1.47	14.10	13.15
3.76	1.46	1.48	14.10	13.23
3.85	1.47	1.48	14.11	13.27
3.88	1.56	1.48	14.11	13.31
3.89	1.48	1.49	14.12	13.35
3.76	1.42	1.49	14.12	13.39
3.82	1.46	1.50	14.13	13.47
3.88	1.55	1.50	14.13	13.51
3.75	1.47	1.50	14.13	13.55
3.81	1.56	1.50	14.14	13.59
3.85	1.48	1.51	14.14	13.67
3.75	1.48	1.51	14.14	13.71
3.81	1.42	1.51	14.15	13.75
3.85	1.53	1.52	14.15	13.79
3.87	1.46	1.52	14.15	13.87
3.90	1.47	1.52	14.15	13.91
3.77	1.42	1.53	14.16	13.95
3.82	1.53	1.53	14.16	13.99
3.86	1.45	1.53	14.16	14.03
3.75	1.47	1.54	14.16	14.11
